ENTRY,ENV,REP,GEN,Female,Male,Female x Male,Yield t/ha,yield g/plant (g),Plant Number,Ear weight (g),grain weight (g),Plant Height (m),Culm Diameter (cm),F. D. Female,F. D. Male,Dry matter mass (g),Root Weight (g)
1,CKOKWE OPT,I,45,CML434,MOZL10,CML434 x MOZL10,7,131,22,3593,2886,1.78,3.16,19/9,18/09,152,13
2,CKOKWE OPT,I,2,CML366,MOZL3,CML366 x MOZL3,6.81,128,24,3734,3063,1.96,3.22,20/09,19/09,172,14
3,CKOKWE OPT,I,37,CML366,MOZL9,CML366 x MOZL9,7.47,140,20,3316,2801,1.79,3.19,18/09,18/09,88,14
4,CKOKWE OPT,I,16,CML366,MOZL6,CML366 x MOZL6,7.51,141,23,3850,3240,2.04,3.27,19/09,18/09,135,31
5,CKOKWE OPT,I,26,CML439,MOZL7,CML439 x MOZL7,7.43,139,20,3496,2786,1.67,2.89,18/09,18/09,150,16
6,CKOKWE OPT,I,40,CML439,MOZL9,CML439 x MOZL9,5.71,107,26,3672,2786,1.55,2.75,17/09,16/09,94,14
7,CKOKWE OPT,I,7,CML532,MOZL3,CML532 x MOZL3,7.19,135,16,2841,2157,1.31,2.51,26/09,22/09,92,17
8,CKOKWE OPT,I,28,CML532,MOZL7,CML532 x MOZL7,6.24,117,20,3029,2340,1.56,2.74,27/09,23/09,177,34
9,CKOKWE OPT,I,10,CML434,MOZL5,CML434 x MOZL5,5.79,109,23,2994,2499,1.53,2.82,20/09,19/09,215,33
10,CKOKWE OPT,I,19,CML439,MOZL6,CML439 x MOZL6,6.23,117,22,3107,2568,1.14,2.15,25/09,20/09,153,38
11,CKOKWE OPT,I,35,CML532,MOZL8,CML532 x MOZL8,4.51,84,21,2245,1774,1.22,2.18,23/09,22/09,62,13
12,CKOKWE OPT,I,0,Check,Check,NAMULONGUE,4.05,76,13,1336,988,1.34,2.13,27/09,23/09,165,21
13,CKOKWE OPT,I,29,CML364,MOZL8,CML364 x MOZL8,3.33,63,20,2570,1250,1.57,2.86,22/09,19/09,69,10
14,CKOKWE OPT,I,14,CML532,MOZL5,CML532 x MOZL5,7.38,138,20,3499,2766,1.44,2.62,21/09,20/09,51,8
15,CKOKWE OPT,I,48,CML530,MOZL10,CML530 x MOZL10,10.61,199,12,2785,2387,1.41,2.58,22/09,20/09,87,11
16,CKOKWE OPT,I,30,CML366,MOZL8,CML366 x MOZL8,7.98,150,18,3259,2692,1.1,2.12,18/09,18/09,81,13
17,CKOKWE OPT,I,4,CML435,MOZL3,CML435 x MOZL3,10.45,196,13,3029,2546,1.38,2.5,20/09,19/09,153,38
18,CKOKWE OPT,I,17,CML434,MOZL6,CML434 x MOZL6,5.91,111,25,3360,2772,1.62,2.98,20/09,18/09,65,8
19,CKOKWE OPT,I,9,CML366,MOZL5,CML366 x MOZL5,8.04,151,21,3377,3166,1.54,2.81,20/09,19/09,87,15
20,CKOKWE OPT,I,43,CML364,MOZL10,CML364 x MOZL10,6.05,114,20,2878,2270,1.59,2.88,22/09,20/09,125,14
21,CKOKWE OPT,I,13,CML530,MOZL5,CML530 x MOZL5,5.47,103,18,3144,1845,1.39,2.71,20/09,19/09,68,10
22,CKOKWE OPT,I,32,CML435,MOZL8,CML435 x MOZL8,4.8,90,20,2223,1801,1.23,2.25,19/09,18/09,85,14
23,CKOKWE OPT,I,22,CML364,MOZL7,CML364 x MOZL7,7.21,135,25,4238,3381,1.57,2.75,23/09,20/09,191,39
24,CKOKWE OPT,I,39,CML435,MOZL9,CML435 x MOZL9,4.04,76,20,2076,1516,0.99,1.82,22/09,18/09,72,11
25,CKOKWE OPT,I,47,CML439,MOZL10,CML439 x MOZL10,3.04,57,15,1121,855,0.89,1.79,29/09,24/09,72,13
26,CKOKWE OPT,I,25,CML435,MOZL7,CML435 x MOZL7,5.85,110,13,2175,1425,1.53,2.85,24/09,20/09,85,11
27,CKOKWE OPT,I,49,CML532,MOZL10,CML532 x MOZL10,9.37,176,15,3294,2634,1.49,2.75,19/09,19/09,179,29
28,CKOKWE OPT,I,36,CML364,MOZL9,CML364 x MOZL9,6.82,128,11,1557,1407,1.28,2.28,19/09,18/09,96,13
29,CKOKWE OPT,I,5,CML439,MOZL3,CML439 x MOZL3,7.65,143,20,3492,2869,1.62,2.78,18/09,17/09,75,11
30,CKOKWE OPT,I,41,CML530,MOZL9,CML530 x MOZL9,6.97,131,20,3470,2615,1.63,2.71,19/09,16/09,178,30
31,CKOKWE OPT,I,15,CML364,MOZL6,CML364 x MOZL6,5.81,109,25,3280,2724,1.81,3.22,18/09,17/09,277,33
32,CKOKWE OPT,I,31,CML434,MOZL8,CML434 x MOZL8,6.51,122,23,3642,2808,1.62,2.85,19/09,18/09,75,12
33,CKOKWE OPT,I,21,CML532,MOZL6,CML532 x MOZL6,5.98,112,22,3167,2467,1.64,2.92,23/09,20/09,186,28
34,CKOKWE OPT,I,33,CML439,MOZL8,CML439 x MOZL8,5.4,101,15,1911,1520,1.36,2.56,20/09,18/09,155,30
35,CKOKWE OPT,I,44,CML366,MOZL10,CML366 x MOZL10,5.59,105,25,3204,2619,1.48,2.7,20/09,19/09,77,18
36,CKOKWE OPT,I,11,CML435,MOZL5,CML435 x MOZL5,7.6,143,18,3180,2565,1.61,2.77,20/09,18/09,105,19
37,CKOKWE OPT,I,8,CML364,MOZL5,CML364 x MOZL5,7.64,143,20,3382,2865,1.77,3.12,23/09,19/09,169,22
38,CKOKWE OPT,I,38,CML434,MOZL9,CML434 x MOZL9,5.72,107,20,2985,2145,1.71,3.18,22/09,19/09,103,22
39,CKOKWE OPT,I,24,CML434,MOZL7,CML434 x MOZL7,7.33,138,22,3790,3025,1.74,3.21,22/09,19/09,130,19
40,CKOKWE OPT,I,3,CML434,MOZL3,CML434 x MOZL3,9.36,175,26,5110,4561,1.88,3.24,19/09,18/09,74,11
41,CKOKWE OPT,I,6,CML530,MOZL3,CML530 x MOZL3,7.98,150,17,3299,2543,1.79,3.23,22/09,19/09,170,24
42,CKOKWE OPT,I,27,CML530,MOZL7,CML530 x MOZL7,8.37,157,22,4354,3452,1.98,3.25,21/09,20/09,182,19
43,CKOKWE OPT,I,42,CML532,MOZL9,CML532 x MOZL9,7.85,147,24,4397,3533,1.85,3.2,22/09,20/09,109,20
44,CKOKWE OPT,I,34,CML530,MOZL8,CML530 x MOZL8,9.34,175,23,5010,4029,1.84,3.19,19/09,18/09,56,15
45,CKOKWE OPT,I,18,CML435,MOZL6,CML435 x MOZL6,7.08,133,25,4103,3321,1.83,3.21,19/09,18/09,62,9
46,CKOKWE OPT,I,1,CML364,MOZL3,CML364 x MOZL3,5.26,99,22,4760,2170,1.92,3.25,22/09,20/09,157,13
47,CKOKWE OPT,I,46,CML435,MOZL10,CML435 x MOZL10,7.02,132,19,3209,2501,1.75,3.11,19/09,18/09,64,7
48,CKOKWE OPT,I,23,CML366,MOZL7,CML366 x MOZL7,6.89,129,25,4128,3230,1.96,3.24,22/09,20/09,59,10
49,CKOKWE OPT,I,12,CML439,MOZL5,CML439 x MOZL5,9.44,177,16,3458,2832,1.75,3.18,19/09,19/09,57,10
50,CKOKWE OPT,I,20,CML530,MOZL6,CML530 x MOZL6,7.83,147,23,4091,3375,1.86,3.17,22/09,20/09,114,22
51,CKOKWE OPT,II,19,CML439,MOZL6,CML439 x MOZL6,7.4,139,19,3298,2636,1.85,3.16,18/09,17/09,187,31
52,CKOKWE OPT,II,1,CML364,MOZL3,CML364 x MOZL3,8.88,167,8,1636,1332,2.02,3.25,22/09,20/09,170,25
53,CKOKWE OPT,II,23,CML366,MOZL7,CML366 x MOZL7,7.42,139,20,3454,2783,1.98,3.24,22/09,20/09,130,19
54,CKOKWE OPT,II,3,CML434,MOZL3,CML434 x MOZL3,7.41,139,21,3406,2916,2.02,3.26,21/09,19/09,129,18
55,CKOKWE OPT,II,39,CML435,MOZL9,CML435 x MOZL9,6.26,117,22,1048,2583,1.74,3.15,18/09,16/09,172,10
56,CKOKWE OPT,II,37,CML366,MOZL9,CML366 x MOZL9,3.64,68,24,2193,1636,1.7,3,19/09,18/09,69,15
57,CKOKWE OPT,II,15,CML364,MOZL6,CML364 x MOZL6,7.42,139,20,3860,2781,2.16,3.28,20/09,18/09,170,20
58,CKOKWE OPT,II,20,CML530,MOZL6,CML530 x MOZL6,8.19,154,14,2652,2151,2.88,3.5,20/09,18/09,148,26
59,CKOKWE OPT,II,8,CML364,MOZL5,CML364 x MOZL5,3.5,66,22,1887,1444,1.97,3.25,20/09,19/09,112,16
60,CKOKWE OPT,II,33,CML439,MOZL8,CML439 x MOZL8,4.85,91,13,1540,1183,1.68,2.97,18/09,17/09,81,11
61,CKOKWE OPT,II,35,CML532,MOZL8,CML532 x MOZL8,6.79,127,18,2957,2293,1.5,2.75,22/09,20/09,78,17
62,CKOKWE OPT,II,11,CML435,MOZL5,CML435 x MOZL5,5.75,108,15,1972,1618,1.65,2.78,19/09,16/09,90,18
63,CKOKWE OPT,II,28,CML532,MOZL7,CML532 x MOZL7,9.93,186,18,4738,3353,1.5,2.76,26/09,22/09,166,15
64,CKOKWE OPT,II,43,CML364,MOZL10,CML364 x MOZL10,6.01,113,16,2297,1804,1.65,2.76,22/09,20/09,70,11
65,CKOKWE OPT,II,38,CML434,MOZL9,CML434 x MOZL9,9.18,172,14,2916,2409,1.69,2.99,19/09,17/09,101,20
66,CKOKWE OPT,II,7,CML532,MOZL3,CML532 x MOZL3,5.86,110,18,2613,1979,1.5,2.75,25/09,22/09,92,15
67,CKOKWE OPT,II,16,CML366,MOZL6,CML366 x MOZL6,5.65,106,19,2513,2013,1.6,2.79,20/09,18/09,96,13
68,CKOKWE OPT,II,40,CML439,MOZL9,CML439 x MOZL9,6.52,122,15,2268,1834,1.52,2.76,18/09,17/09,87,23
69,CKOKWE OPT,II,25,CML435,MOZL7,CML435 x MOZL7,5.64,106,19,3272,2009,1.73,3.08,20/09,18/09,177,24
70,CKOKWE OPT,II,18,CML435,MOZL6,CML435 x MOZL6,6.28,118,18,2664,2120,1.55,2.77,19/09,18/09,191,34
71,CKOKWE OPT,II,6,CML530,MOZL3,CML530 x MOZL3,6.4,120,16,2468,1920,1.69,3,22/09,20/09,135,16
72,CKOKWE OPT,II,21,CML532,MOZL6,CML532 x MOZL6,7.37,138,24,4494,3315,1.54,2.76,22/09,19/09,185,37
73,CKOKWE OPT,II,31,CML434,MOZL8,CML434 x MOZL8,7.81,146,23,4475,3366,1.61,2.76,19/09,18/09,152,39
74,CKOKWE OPT,II,2,CML366,MOZL3,CML366 x MOZL3,10.05,188,12,3078,2261,1.53,2.76,20/09,18/09,121,15
75,CKOKWE OPT,II,49,CML532,MOZL10,CML532 x MOZL10,7.42,139,13,2286,1808,1.66,3,20/09,18/09,221,18
76,CKOKWE OPT,II,26,CML439,MOZL7,CML439 x MOZL7,5.59,105,14,1887,1468,1.59,2.8,19/09,18/09,251,30
77,CKOKWE OPT,II,9,CML366,MOZL5,CML366 x MOZL5,3.1,58,14,1830,815,1.34,2.5,20/09,19/09,233,33
78,CKOKWE OPT,II,42,CML532,MOZL9,CML532 x MOZL9,7.34,138,15,2255,2064,1.48,2.7,22/09,20/09,289,36
79,CKOKWE OPT,II,22,CML364,MOZL7,CML364 x MOZL7,3.1,58,12,9004,697,1.26,2.28,23/09,22/09,261,18
80,CKOKWE OPT,II,47,CML439,MOZL10,CML439 x MOZL10,6.15,115,13,2533,1500,1.35,2.55,18/09,17/09,217,26
81,CKOKWE OPT,II,30,CML366,MOZL8,CML366 x MOZL8,4.8,90,21,2407,1891,1.34,2.54,18/09,18/09,260,31
82,CKOKWE OPT,II,12,CML439,MOZL5,CML439 x MOZL5,6.15,115,12,1695,1383,1.46,2.73,19/09,18/09,178,16
83,CKOKWE OPT,II,10,CML434,MOZL5,CML434 x MOZL5,5.93,111,13,1789,1446,1.54,2.72,19/09,18/09,118,18
84,CKOKWE OPT,II,27,CML530,MOZL7,CML530 x MOZL7,6.32,119,10,1563,1185,1.72,2.15,20/09,19/09,163,39
85,CKOKWE OPT,II,34,CML530,MOZL8,CML530 x MOZL8,5.02,94,8,968,753,1.25,2.29,18/09,18/09,238,41
86,CKOKWE OPT,II,14,CML532,MOZL5,CML532 x MOZL5,8.72,164,10,2102,1635,1.4,2.66,22/09,20/09,169,17
87,CKOKWE OPT,II,36,CML364,MOZL9,CML364 x MOZL9,5.4,101,15,1925,1520,1.65,2.8,19/09,18/09,144,26
88,CKOKWE OPT,II,17,CML434,MOZL6,CML434 x MOZL6,4.27,80,13,1321,1040,1.53,2.79,21/09,19/09,134,45
89,CKOKWE OPT,II,46,CML435,MOZL10,CML435 x MOZL10,5.23,98,7,902,687,1.3,2.5,20/09,19/09,265,23
90,CKOKWE OPT,II,4,CML435,MOZL3,CML435 x MOZL3,3.11,58,4,347,233,0.99,1.75,22/09,19/09,57,11
91,CKOKWE OPT,II,32,CML435,MOZL8,CML435 x MOZL8,5.84,109,13,1784,1423,1.39,2.62,22/09,19/09,96,15
92,CKOKWE OPT,II,41,CML530,MOZL9,CML530 x MOZL9,6.29,118,13,1977,1533,1.65,2.93,19/09,18/09,115,44
93,CKOKWE OPT,II,5,CML439,MOZL3,CML439 x MOZL3,7.28,136,12,2023,1637,1.62,2.91,20/09,18/09,202,18
94,CKOKWE OPT,II,44,CML366,MOZL10,CML366 x MOZL10,5.52,103,17,2195,1758,1.79,3,19/09,19/09,51,20
95,CKOKWE OPT,II,0,Check,Check,NAMULONGUE,6.54,123,16,2483,1962,1.69,3,19/09,18/09,73,17
96,CKOKWE OPT,II,45,CML434,MOZL10,CML434 x MOZL10,5.54,104,16,2158,1662,1.85,3.22,18/09,18/09,65,38
97,CKOKWE OPT,II,29,CML364,MOZL8,CML364 x MOZL8,7.68,144,15,2626,2161,1.94,3.24,19/09,18/09,148,28
98,CKOKWE OPT,II,48,CML530,MOZL10,CML530 x MOZL10,10.28,193,10,2426,1927,1.92,3.23,19/09,19/09,281,49
99,CKOKWE OPT,II,24,CML434,MOZL7,CML434 x MOZL7,7.8,146,16,2926,2340,2.03,3.26,22/09,19/09,178,17
100,CKOKWE OPT,II,13,CML530,MOZL5,CML530 x MOZL5,9.01,169,16,3297,2703,1.83,3.23,20/09,19/09,260,42
101,CKOKWE OPT,III,25,CML435,MOZL7,CML435 x MOZL7,6.4,120,7,1078,840,1.34,2.53,22/09,20/09,189,34
102,CKOKWE OPT,III,34,CML530,MOZL8,CML530 x MOZL8,6.96,131,21,3707,2741,1.65,2.96,20/09,18/09,217,17
103,CKOKWE OPT,III,40,CML439,MOZL9,CML439 x MOZL9,5.34,100,25,3410,2502,1.64,2.95,18/09,18/09,124,22
104,CKOKWE OPT,III,11,CML435,MOZL5,CML435 x MOZL5,7.74,145,24,2777,3485,1.73,3.05,19/09,18/09,103,15
105,CKOKWE OPT,III,0,Check,Check,NAMULONGUE,9.11,171,17,2733,2905,1.58,2.8,28/09,22/09,95,28
106,CKOKWE OPT,III,15,CML364,MOZL6,CML364 x MOZL6,6.37,120,18,2652,2151,1.84,3.09,23/09,20/09,160,23
107,CKOKWE OPT,III,6,CML530,MOZL3,CML530 x MOZL3,9.68,181,16,3608,2903,1.6,2.85,23/09,20/09,105,45
108,CKOKWE OPT,III,47,CML439,MOZL10,CML439 x MOZL10,5.4,101,19,2480,1922,1.41,2.55,20/09,19/09,66,14
109,CKOKWE OPT,III,9,CML366,MOZL5,CML366 x MOZL5,4.51,85,24,2490,2029,1.65,2.84,23/09,19/09,176,24
110,CKOKWE OPT,III,21,CML532,MOZL6,CML532 x MOZL6,4.12,77,11,1185,849,1.24,2.26,24/09,20/09,128,21
111,CKOKWE OPT,III,39,CML435,MOZL9,CML435 x MOZL9,4.76,89,16,1801,1427,1.27,1.26,22/09,20/09,96,17
112,CKOKWE OPT,III,22,CML364,MOZL7,CML364 x MOZL7,6.09,114,13,1868,1484,1.38,2.75,27/09,23/09,189,17
113,CKOKWE OPT,III,13,CML530,MOZL5,CML530 x MOZL5,8.18,153,15,2808,2301,1.51,2.75,22/09,19/09,216,21
114,CKOKWE OPT,III,29,CML364,MOZL8,CML364 x MOZL8,6.25,117,23,3290,2696,1.76,3.13,22/09,20/09,148,30
115,CKOKWE OPT,III,42,CML532,MOZL9,CML532 x MOZL9,8.04,151,16,3058,2412,1.52,2.75,23/09,20/09,48,25
116,CKOKWE OPT,III,3,CML434,MOZL3,CML434 x MOZL3,4.56,85,17,2570,1452,1.65,2.78,22/09,20/09,61,24
117,CKOKWE OPT,III,16,CML366,MOZL6,CML366 x MOZL6,5.33,100,19,2391,1898,1.56,2.85,21/09,19/09,85,14
118,CKOKWE OPT,III,37,CML366,MOZL9,CML366 x MOZL9,4.88,92,18,2027,1647,1.42,2.72,21/09,19/09,88,21
119,CKOKWE OPT,III,45,CML434,MOZL10,CML434 x MOZL10,7.47,140,14,1365,1961,1.46,2.74,22/09,20/09,83,21
120,CKOKWE OPT,III,24,CML434,MOZL7,CML434 x MOZL7,5.67,106,16,2114,1700,1.62,2.81,22/09,19/09,269,38
121,CKOKWE OPT,III,48,CML530,MOZL10,CML530 x MOZL10,7.02,132,15,2560,1974,1.71,3.1,23/09,20/09,69,22
122,CKOKWE OPT,III,20,CML530,MOZL6,CML530 x MOZL6,8.01,150,17,3389,2554,1.65,2.95,23/09,19/09,160,25
123,CKOKWE OPT,III,5,CML439,MOZL3,CML439 x MOZL3,7.07,133,17,2834,2253,1.5,3,22/09,19/09,120,19
124,CKOKWE OPT,III,30,CML366,MOZL8,CML366 x MOZL8,4.73,89,26,2925,2305,1.37,2.6,20/09,19/09,86,20
125,CKOKWE OPT,III,14,CML532,MOZL5,CML532 x MOZL5,6.06,114,11,1693,1250,1.51,2.75,24/09,21/09,140,27
126,CKOKWE OPT,III,44,CML366,MOZL10,CML366 x MOZL10,3.57,67,21,1813,1405,1.35,2.8,22/09,19/09,109,29
127,CKOKWE OPT,III,19,CML439,MOZL6,CML439 x MOZL6,4.67,88,22,2437,1926,1.27,2.3,22/09,19/09,159,22
128,CKOKWE OPT,III,35,CML532,MOZL8,CML532 x MOZL8,3.73,70,21,1942,1467,1.34,2.58,21/09,20/09,111,16
129,CKOKWE OPT,III,28,CML532,MOZL7,CML532 x MOZL7,4.16,78,25,2612,1948,1.43,2.61,27/07,22/09,278,73
130,CKOKWE OPT,III,12,CML439,MOZL5,CML439 x MOZL5,7.72,145,16,2917,2317,1.46,2.63,20/09,19/09,274,34
131,CKOKWE OPT,III,7,CML532,MOZL3,CML532 x MOZL3,4.23,79,21,1831,1665,1.29,2.5,24/09,20/09,185,38
132,CKOKWE OPT,III,32,CML435,MOZL8,CML435 x MOZL8,3.76,71,19,1819,1341,1.39,2.74,20/09,18/09,151,33
133,CKOKWE OPT,III,49,CML532,MOZL10,CML532 x MOZL10,5.92,111,23,3241,2552,1.57,2.79,22/09,19/09,280,41
134,CKOKWE OPT,III,26,CML439,MOZL7,CML439 x MOZL7,6.73,126,23,3608,2903,1.59,2.78,20/09,18/09,211,29
135,CKOKWE OPT,III,2,CML366,MOZL3,CML366 x MOZL3,6.77,127,23,3699,2920,1.71,3,23/09,19/09,268,45
136,CKOKWE OPT,III,27,CML530,MOZL7,CML530 x MOZL7,4.46,84,23,2552,1925,1.67,3,22/09,20/09,280,19
137,CKOKWE OPT,III,18,CML435,MOZL6,CML435 x MOZL6,7.08,133,22,3629,2920,1.64,2.76,19/09,18/09,79,15
138,CKOKWE OPT,III,36,CML364,MOZL9,CML364 x MOZL9,5.61,105,18,2398,1895,1.69,3,20/09,19/09,144,20
139,CKOKWE OPT,III,38,CML434,MOZL9,CML434 x MOZL9,6.5,122,17,2999,2072,1.57,2.83,20/09,19/09,147,18
140,CKOKWE OPT,III,10,CML434,MOZL5,CML434 x MOZL5,6.79,127,19,3040,2419,1.68,3,22/09,19/09,273,36
141,CKOKWE OPT,III,4,CML435,MOZL3,CML435 x MOZL3,6.37,120,18,2652,2151,1.36,2.69,22/09,18/09,146,42
142,CKOKWE OPT,III,41,CML530,MOZL9,CML530 x MOZL9,7.48,140,11,1989,1542,1.42,2.52,20/09,19/09,151,29
143,CKOKWE OPT,III,33,CML439,MOZL8,CML439 x MOZL8,5.22,98,17,2125,1663,1.64,2.64,19/09,18/09,117,28
144,CKOKWE OPT,III,43,CML364,MOZL10,CML364 x MOZL10,6.47,121,18,2253,2183,1.76,3.27,22/09,20/09,189,23
145,CKOKWE OPT,III,1,CML364,MOZL3,CML364 x MOZL3,6.23,117,15,3198,1751,1.97,3.25,26/09,22/09,243,42
146,CKOKWE OPT,III,17,CML434,MOZL6,CML434 x MOZL6,8.41,158,27,5020,4260,2.07,3.28,20/09,18/09,65,17
147,CKOKWE OPT,III,46,CML435,MOZL10,CML435 x MOZL10,6.98,131,24,3997,3139,1.86,3.22,18/09,17/09,140,37
148,CKOKWE OPT,III,8,CML364,MOZL5,CML364 x MOZL5,8.59,161,27,5030,4351,2.03,3.25,22/09,19/09,200,33
149,CKOKWE OPT,III,31,CML434,MOZL8,CML434 x MOZL8,6.4,120,25,3707,2998,2.01,3.25,19/09,18/09,72,27
150,CKOKWE OPT,III,23,CML366,MOZL7,CML366 x MOZL7,6.2,116,22,3228,2556,2.08,3.25,19/09,17/09,134,39
