ENTRY,ENV,REP,GEN,Female,Male,Female x Male,Yield t/ha,yield g/plant (g),Plant Number,Ear weight (g),grain weight (g),Plant Height (m),Culm Diameter (cm),F. D. Female,F. D. Male,Dry matter mass (g),Root Weight (g)
453,SUSSUNDENGA,I,37,CML366,MOZL9,CML366 x MOZL9,6.75,127,26,3895,3290,1.74,3.34,14-Oct,16-Oct,68,11
454,SUSSUNDENGA,I,16,CML366,MOZL6,CML366 x MOZL6,8.52,160,21,4020,3355,1.72,3.42,15-Oct,16-Oct,104,24
455,SUSSUNDENGA,I,26,CML439,MOZL7,CML439 x MOZL7,7.35,138,23,3975,3171,1.61,3.04,16-Oct,18-Oct,115,12
456,SUSSUNDENGA,I,40,CML439,MOZL9,CML439 x MOZL9,6.71,126,22,3565,2767,1.46,2.9,17-Oct,22-Oct,72,10
457,SUSSUNDENGA,I,7,CML532,MOZL3,CML532 x MOZL3,6.75,127,23,3690,2911,1.51,2.66,28-Oct,28-Oct,71,13
458,SUSSUNDENGA,I,28,CML532,MOZL7,CML532 x MOZL7,8.52,160,22,4455,3515,1.66,2.89,31-Oct,31-Oct,136,26
459,SUSSUNDENGA,I,10,CML434,MOZL5,CML434 x MOZL5,6.65,125,21,3185,2620,1.5,2.97,26-Oct,31-Oct,165,26
460,SUSSUNDENGA,I,19,CML439,MOZL6,CML439 x MOZL6,5.68,106,23,3010,2448,1.33,2.3,26-Oct,31-Oct,118,29
461,SUSSUNDENGA,I,35,CML532,MOZL8,CML532 x MOZL8,5.69,107,17,2325,1814,1.26,2.33,24-Oct,29-Oct,48,10
462,SUSSUNDENGA,I,0,Check,Check,NAMULONGUE,6.03,113,18,2560,2035,1.5,2.28,29-Oct,31-Oct,127,16
463,SUSSUNDENGA,I,29,CML364,MOZL8,CML364 x MOZL8,4.62,87,19,2115,1647,1.15,3.01,1-Nov,3-Nov,53,8
464,SUSSUNDENGA,I,14,CML532,MOZL5,CML532 x MOZL5,4.19,79,20,1875,1570,1.26,2.77,31-Oct,4-Nov,39,6
465,SUSSUNDENGA,I,48,CML530,MOZL10,CML530 x MOZL10,7.96,149,13,2430,1941,1.28,2.73,3-Nov,5-Nov,67,8
466,SUSSUNDENGA,I,30,CML366,MOZL8,CML366 x MOZL8,6.27,117,21,2975,2467,1.21,2.27,1-Nov,4-Nov,80,10
467,SUSSUNDENGA,I,4,CML435,MOZL3,CML435 x MOZL3,3.53,66,13,1295,860,1.14,2.65,1-Nov,6-Nov,41,6
468,SUSSUNDENGA,I,17,CML434,MOZL6,CML434 x MOZL6,5.4,101,18,2215,1821,1.35,3.13,29-Oct,1-Nov,50,6
469,SUSSUNDENGA,I,9,CML366,MOZL5,CML366 x MOZL5,6.44,121,21,2995,2535,1.78,2.96,25-Oct,29-Oct,67,12
470,SUSSUNDENGA,I,43,CML364,MOZL10,CML364 x MOZL10,8.05,151,16,2995,2415,1.39,3.03,20-Oct,25-Oct,96,11
471,SUSSUNDENGA,I,13,CML530,MOZL5,CML530 x MOZL5,4.08,76,24,2320,1835,1.35,2.86,26-Oct,29-Oct,52,8
472,SUSSUNDENGA,I,32,CML435,MOZL8,CML435 x MOZL8,5.19,97,18,2075,1753,1.36,2.4,25-Oct,28-Oct,65,10
473,SUSSUNDENGA,I,22,CML364,MOZL7,CML364 x MOZL7,7.91,148,18,3230,2670,1.41,2.9,19-Oct,22-Oct,147,30
474,SUSSUNDENGA,I,39,CML435,MOZL9,CML435 x MOZL9,5.55,104,23,2825,2395,1.37,1.97,25-Oct,25-Oct,55,8
475,SUSSUNDENGA,I,47,CML439,MOZL10,CML439 x MOZL10,6.33,119,16,2405,1900,1.42,1.94,22-Oct,25-Oct,132,10
476,SUSSUNDENGA,I,25,CML435,MOZL7,CML435 x MOZL7,7.82,147,18,3030,2639,1.58,3,25-Oct,25-Oct,65,8
477,SUSSUNDENGA,I,49,CML532,MOZL10,CML532 x MOZL10,7.56,142,19,3535,2692,1.48,2.9,26-Oct,28-Oct,138,23
478,SUSSUNDENGA,I,36,CML364,MOZL9,CML364 x MOZL9,4.49,84,24,3185,2020,1.48,2.43,25-Oct,25-Oct,74,10
479,SUSSUNDENGA,I,5,CML439,MOZL3,CML439 x MOZL3,5.83,109,21,2809,2295,1.57,2.93,19-Oct,28-Oct,58,9
480,SUSSUNDENGA,I,41,CML530,MOZL9,CML530 x MOZL9,9.56,179,17,3685,3046,1.52,2.86,14-Oct,16-Oct,137,23
481,SUSSUNDENGA,I,15,CML364,MOZL6,CML364 x MOZL6,7.98,150,20,3519,2991,1.75,3.37,17-Oct,24-Oct,213,26
482,SUSSUNDENGA,I,31,CML434,MOZL8,CML434 x MOZL8,7.4,139,20,3980,2775,1.65,3,14-Oct,16-Oct,58,23
483,SUSSUNDENGA,I,21,CML532,MOZL6,CML532 x MOZL6,6.02,113,23,3170,2595,1.57,3.07,20-Oct,24-Oct,220,21
484,SUSSUNDENGA,I,33,CML439,MOZL8,CML439 x MOZL8,6.25,117,21,3005,2460,1.58,2.71,15-Oct,17-Oct,119,23
485,SUSSUNDENGA,I,44,CML366,MOZL10,CML366 x MOZL10,5.84,110,22,2840,2411,1.5,2.85,2-Nov,6-Nov,59,14
486,SUSSUNDENGA,I,11,CML435,MOZL5,CML435 x MOZL5,7.35,138,20,3480,2758,1.43,2.92,31-Oct,2-Nov,81,15
487,SUSSUNDENGA,I,8,CML364,MOZL5,CML364 x MOZL5,8.08,151,19,3405,2878,1.5,3.27,26-Oct,29-Oct,130,17
488,SUSSUNDENGA,I,38,CML434,MOZL9,CML434 x MOZL9,5.62,105,22,3025,2317,1.63,3.33,27-Oct,30-Oct,79,17
489,SUSSUNDENGA,I,24,CML434,MOZL7,CML434 x MOZL7,7.48,140,18,3025,2523,1.55,3.36,28-Oct,1-Nov,100,14
490,SUSSUNDENGA,I,3,CML434,MOZL3,CML434 x MOZL3,5.96,112,20,2730,2236,1.4,3.39,27-Oct,31-Oct,57,8
491,SUSSUNDENGA,I,6,CML530,MOZL3,CML530 x MOZL3,7.95,149,21,3870,3130,1.53,3.38,25-Oct,22-May,131,18
492,SUSSUNDENGA,I,27,CML530,MOZL7,CML530 x MOZL7,8.07,151,23,4450,3480,1.55,3.4,28-Oct,30-Oct,140,15
493,SUSSUNDENGA,I,42,CML532,MOZL9,CML532 x MOZL9,7.51,141,18,3170,2535,1.42,3.35,26-Oct,28-Oct,84,15
494,SUSSUNDENGA,I,34,CML530,MOZL8,CML530 x MOZL8,6.76,127,22,3335,2788,1.46,3.34,25-Oct,25-Oct,43,11
495,SUSSUNDENGA,I,18,CML435,MOZL6,CML435 x MOZL6,5.34,100,21,2590,2102,1.4,3.36,25-Oct,25-Oct,48,7
496,SUSSUNDENGA,I,1,CML364,MOZL3,CML364 x MOZL3,6.91,129,19,3005,2460,1.3,3.4,30-Oct,2-Nov,121,10
497,SUSSUNDENGA,I,46,CML435,MOZL10,CML435 x MOZL10,4.17,78,16,1850,1250,1.18,3.26,30-Oct,2-Nov,49,6
498,SUSSUNDENGA,I,23,CML366,MOZL7,CML366 x MOZL7,4.77,90,16,1837,1432,1.38,3.39,8-Nov,17-Nov,45,8
499,SUSSUNDENGA,I,12,CML439,MOZL5,CML439 x MOZL5,5.93,111,17,2235,1890,1.26,3.33,26-Oct,30-Oct,44,8
500,SUSSUNDENGA,I,20,CML530,MOZL6,CML530 x MOZL6,9,169,19,4085,3205,1.3,3.32,27-Oct,30-Oct,88,17
501,SUSSUNDENGA,II,19,CML439,MOZL6,CML439 x MOZL6,7.43,139,15,2505,2089,1.6,3.31,26-Oct,28-Oct,144,24
502,SUSSUNDENGA,II,1,CML364,MOZL3,CML364 x MOZL3,7.87,148,16,2990,2361,1.6,3.4,29-Oct,31-Oct,131,19
503,SUSSUNDENGA,II,23,CML366,MOZL7,CML366 x MOZL7,7.71,145,21,3705,3035,1.73,3.39,26-Oct,29-Oct,100,14
504,SUSSUNDENGA,II,3,CML434,MOZL3,CML434 x MOZL3,8.03,151,20,3605,3010,1.71,3.41,22-Oct,25-Oct,99,14
505,SUSSUNDENGA,II,39,CML435,MOZL9,CML435 x MOZL9,7.39,139,19,3240,2632,1.54,3.3,23-Oct,25-Oct,55,8
506,SUSSUNDENGA,II,37,CML366,MOZL9,CML366 x MOZL9,5.47,103,21,2610,2153,1.6,3.15,27-Oct,30-Oct,53,11
507,SUSSUNDENGA,II,15,CML364,MOZL6,CML364 x MOZL6,8.15,153,19,3585,2905,1.75,3.43,29-Oct,30-Oct,131,15
508,SUSSUNDENGA,II,20,CML530,MOZL6,CML530 x MOZL6,7.85,147,21,3860,3091,1.56,3.65,29-Oct,30-Oct,114,20
509,SUSSUNDENGA,II,8,CML364,MOZL5,CML364 x MOZL5,7.21,135,21,3490,2837,1.44,3.4,27-Oct,31-Oct,86,12
510,SUSSUNDENGA,II,33,CML439,MOZL8,CML439 x MOZL8,6.71,126,20,2985,2515,1.39,3.12,24-Oct,25-Oct,62,8
511,SUSSUNDENGA,II,35,CML532,MOZL8,CML532 x MOZL8,8,150,15,2835,2249,1.62,2.9,30-Oct,30-Oct,60,13
512,SUSSUNDENGA,II,11,CML435,MOZL5,CML435 x MOZL5,6.92,130,18,2862,2336,1.28,2.93,3-Nov,4-Nov,69,14
513,SUSSUNDENGA,II,28,CML532,MOZL7,CML532 x MOZL7,7.67,144,15,2755,2158,1.44,5.91,11-Nov,12-Nov,128,12
514,SUSSUNDENGA,II,43,CML364,MOZL10,CML364 x MOZL10,5.55,104,18,2239,1873,1.42,2.91,6-Nov,9-Nov,54,8
515,SUSSUNDENGA,II,38,CML434,MOZL9,CML434 x MOZL9,6.89,129,18,2830,2325,1.52,3.14,6-Nov,8-Nov,78,16
516,SUSSUNDENGA,II,7,CML532,MOZL3,CML532 x MOZL3,5.98,112,18,2660,2018,1.42,2.9,2-Nov,4-Nov,71,12
517,SUSSUNDENGA,II,16,CML366,MOZL6,CML366 x MOZL6,6.9,129,17,2705,2199,1.45,2.94,27-Oct,1-Nov,74,10
518,SUSSUNDENGA,II,40,CML439,MOZL9,CML439 x MOZL9,6.41,120,23,3425,2763,1.46,2.91,21-Oct,22-Oct,67,18
519,SUSSUNDENGA,II,25,CML435,MOZL7,CML435 x MOZL7,7.28,137,21,3500,2867,1.56,3.23,26-Oct,28-Oct,136,18
520,SUSSUNDENGA,II,18,CML435,MOZL6,CML435 x MOZL6,6.75,127,20,3095,2531,1.53,2.92,17-Oct,19-Oct,147,27
521,SUSSUNDENGA,II,6,CML530,MOZL3,CML530 x MOZL3,8,150,19,3510,2850,1.65,3.15,26-Oct,30-Oct,104,12
522,SUSSUNDENGA,II,21,CML532,MOZL6,CML532 x MOZL6,6.3,118,22,3350,2600,1.63,2.91,29-Oct,30-Oct,219,29
523,SUSSUNDENGA,II,31,CML434,MOZL8,CML434 x MOZL8,7.4,139,15,2535,2081,1.69,2.91,26-Oct,26-Oct,194,30
524,SUSSUNDENGA,II,2,CML366,MOZL3,CML366 x MOZL3,7.81,146,19,3320,2781,1.67,2.91,24-Oct,28-Oct,93,11
525,SUSSUNDENGA,II,49,CML532,MOZL10,CML532 x MOZL10,6.46,121,22,3285,2663,1.62,3.15,25-Oct,30-Oct,170,14
526,SUSSUNDENGA,II,26,CML439,MOZL7,CML439 x MOZL7,7.15,134,20,3200,2680,1.69,2.95,19-Oct,23-Oct,193,31
527,SUSSUNDENGA,II,9,CML366,MOZL5,CML366 x MOZL5,8.49,159,19,3675,3024,1.86,2.65,19-Oct,22-Oct,179,25
528,SUSSUNDENGA,II,42,CML532,MOZL9,CML532 x MOZL9,9.42,177,19,4210,3357,1.77,2.85,18-Oct,21-Oct,222,28
529,SUSSUNDENGA,II,22,CML364,MOZL7,CML364 x MOZL7,7.98,150,21,3795,3142,1.78,2.43,24-Oct,24-Oct,201,14
530,SUSSUNDENGA,II,47,CML439,MOZL10,CML439 x MOZL10,6.7,126,18,2990,2262,1.76,2.7,24-Oct,24-Oct,167,20
531,SUSSUNDENGA,II,30,CML366,MOZL8,CML366 x MOZL8,9.05,170,20,4100,3393,1.76,2.69,20-Nov,22-Oct,200,24
532,SUSSUNDENGA,II,12,CML439,MOZL5,CML439 x MOZL5,7.03,132,14,2270,1846,1.65,2.88,20-Oct,21-Oct,137,12
533,SUSSUNDENGA,II,10,CML434,MOZL5,CML434 x MOZL5,8.35,157,18,3470,2817,1.78,2.87,16-Oct,19-Oct,91,14
534,SUSSUNDENGA,II,27,CML530,MOZL7,CML530 x MOZL7,8.78,165,20,4100,3294,1.61,2.3,26-Oct,30-Oct,279,30
535,SUSSUNDENGA,II,34,CML530,MOZL8,CML530 x MOZL8,7.43,139,23,3920,3203,1.63,2.44,16-Oct,21-Oct,183,32
536,SUSSUNDENGA,II,14,CML532,MOZL5,CML532 x MOZL5,9.17,172,21,4450,3610,1.78,2.81,18-Oct,20-Oct,130,13
537,SUSSUNDENGA,II,36,CML364,MOZL9,CML364 x MOZL9,6.75,126,21,3325,2656,1.62,2.95,16-Oct,18-Oct,111,20
538,SUSSUNDENGA,II,17,CML434,MOZL6,CML434 x MOZL6,8.33,156,21,3975,3280,1.71,2.94,15-Oct,18-Oct,103,35
539,SUSSUNDENGA,II,46,CML435,MOZL10,CML435 x MOZL10,6.92,130,22,3610,2853,1.55,2.65,16-Oct,18-Oct,204,18
540,SUSSUNDENGA,II,4,CML435,MOZL3,CML435 x MOZL3,8.33,156,19,3685,2968,1.59,1.9,16-Oct,18-Oct,82,11
541,SUSSUNDENGA,II,32,CML435,MOZL8,CML435 x MOZL8,6.02,113,15,2350,1694,1.55,2.77,14-Oct,17-Oct,74,11
542,SUSSUNDENGA,II,41,CML530,MOZL9,CML530 x MOZL9,10.19,191,21,4880,4013,1.61,3.08,17-Oct,19-Oct,165,41
543,SUSSUNDENGA,II,5,CML439,MOZL3,CML439 x MOZL3,8.14,153,20,3855,3053,1.68,3.06,21-Oct,23-Oct,155,14
544,SUSSUNDENGA,II,44,CML366,MOZL10,CML366 x MOZL10,8,150,20,3725,3001,1.72,3.15,27-Oct,29-Oct,39,9
545,SUSSUNDENGA,II,0,Check,Check,NAMULONGUE,9.55,179,17,4756,3045,1.93,3.15,24-Oct,25-Oct,56,13
546,SUSSUNDENGA,II,45,CML434,MOZL10,CML434 x MOZL10,7.65,143,21,3725,3012,1.69,3.37,24-Oct,25-Oct,50,14
547,SUSSUNDENGA,II,29,CML364,MOZL8,CML364 x MOZL8,6.73,126,17,2735,2145,1.67,3.39,25-Oct,28-Oct,114,22
548,SUSSUNDENGA,II,48,CML530,MOZL10,CML530 x MOZL10,8.7,163,21,4225,3424,1.69,3.38,23-Oct,25-Oct,216,31
549,SUSSUNDENGA,II,24,CML434,MOZL7,CML434 x MOZL7,8.06,151,20,3745,3022,1.63,3.41,24-Oct,30-Oct,60,13
550,SUSSUNDENGA,II,13,CML530,MOZL5,CML530 x MOZL5,8.04,151,20,3790,3016,1.34,3.38,19-Oct,21-Oct,168,33
551,SUSSUNDENGA,III,25,CML435,MOZL7,CML435 x MOZL7,8.07,151,21,3920,3176,1.6,2.68,25-Oct,29-Oct,222,26
552,SUSSUNDENGA,III,34,CML530,MOZL8,CML530 x MOZL8,6.99,131,22,3465,2885,1.52,3.11,21-Oct,26-Oct,167,13
553,SUSSUNDENGA,III,40,CML439,MOZL9,CML439 x MOZL9,5.9,111,17,2280,1880,1.5,3.1,25-Oct,29-Oct,95,17
554,SUSSUNDENGA,III,11,CML435,MOZL5,CML435 x MOZL5,6.72,126,23,3660,2900,1.56,3.2,28-Oct,30-Oct,79,11
555,SUSSUNDENGA,III,0,Check,Check,NAMULONGUE,10.11,190,18,4155,3413,1.8,2.95,2-Nov,3-Nov,73,22
556,SUSSUNDENGA,III,15,CML364,MOZL6,CML364 x MOZL6,8.47,159,21,4140,3335,1.79,3.24,30-Oct,31-Oct,123,18
557,SUSSUNDENGA,III,6,CML530,MOZL3,CML530 x MOZL3,8.7,163,21,4395,3425,1.82,3,26-Oct,30-Oct,81,35
558,SUSSUNDENGA,III,47,CML439,MOZL10,CML439 x MOZL10,6.69,125,21,3310,2634,1.69,2.7,26-Oct,26-Oct,51,10
559,SUSSUNDENGA,III,9,CML366,MOZL5,CML366 x MOZL5,8.99,169,23,4800,3878,1.82,2.99,25-Oct,26-Oct,135,34
560,SUSSUNDENGA,III,21,CML532,MOZL6,CML532 x MOZL6,8.51,160,20,4020,3192,1.77,2.41,30-Oct,30-Oct,137,16
561,SUSSUNDENGA,III,39,CML435,MOZL9,CML435 x MOZL9,7.41,139,20,3420,2780,1.67,1.41,19-Oct,21-Oct,74,13
562,SUSSUNDENGA,III,22,CML364,MOZL7,CML364 x MOZL7,7.49,141,21,3695,2951,1.68,2.9,26-Oct,26-Oct,145,13
563,SUSSUNDENGA,III,13,CML530,MOZL5,CML530 x MOZL5,7.56,142,20,3335,2836,1.69,2.9,26-Oct,26-Oct,166,16
564,SUSSUNDENGA,III,29,CML364,MOZL8,CML364 x MOZL8,7.17,135,19,3225,2556,1.79,3.28,23-Oct,26-Oct,114,23
565,SUSSUNDENGA,III,42,CML532,MOZL9,CML532 x MOZL9,8.74,164,22,4410,3605,1.73,2.9,30-Oct,31-Oct,137,32
566,SUSSUNDENGA,III,3,CML434,MOZL3,CML434 x MOZL3,9.51,178,21,4555,3746,1.8,2.93,25-Oct,27-Oct,147,38
567,SUSSUNDENGA,III,16,CML366,MOZL6,CML366 x MOZL6,6.3,118,23,3285,2718,1.97,3,26-Oct,31-Oct,65,10
568,SUSSUNDENGA,III,37,CML366,MOZL9,CML366 x MOZL9,7.15,134,22,3655,2950,1.7,2.87,27-Oct,30-Oct,68,16
569,SUSSUNDENGA,III,45,CML434,MOZL10,CML434 x MOZL10,7.41,139,22,3810,3055,1.61,2.89,24-Oct,26-Oct,64,16
570,SUSSUNDENGA,III,24,CML434,MOZL7,CML434 x MOZL7,7.86,147,22,3877,3244,1.78,2.96,25-Oct,30-Oct,207,29
571,SUSSUNDENGA,III,48,CML530,MOZL10,CML530 x MOZL10,6.48,121,24,3600,2914,1.81,3.25,20-Oct,21-Oct,53,17
572,SUSSUNDENGA,III,20,CML530,MOZL6,CML530 x MOZL6,9.15,171,21,4460,3601,1.83,3.1,20-Oct,21-Oct,123,19
573,SUSSUNDENGA,III,5,CML439,MOZL3,CML439 x MOZL3,7.63,143,18,3315,2574,1.74,3.15,16-Oct,18-Oct,92,14
574,SUSSUNDENGA,III,30,CML366,MOZL8,CML366 x MOZL8,8.16,153,22,4125,3368,1.67,2.75,16-Oct,19-Oct,66,15
575,SUSSUNDENGA,III,14,CML532,MOZL5,CML532 x MOZL5,9.32,175,17,3473,2970,1.77,2.9,20-Oct,20-Oct,108,21
576,SUSSUNDENGA,III,44,CML366,MOZL10,CML366 x MOZL10,9.09,171,19,4000,3240,1.81,2.95,17-Oct,19-Oct,84,23
577,SUSSUNDENGA,III,19,CML439,MOZL6,CML439 x MOZL6,7.8,146,22,3910,3218,1.91,2.45,16-Oct,19-Nov,122,17
578,SUSSUNDENGA,III,35,CML532,MOZL8,CML532 x MOZL8,7.91,148,20,3535,2966,2,2.73,19-Oct,20-Oct,85,12
579,SUSSUNDENGA,III,28,CML532,MOZL7,CML532 x MOZL7,10.49,197,22,5520,4328,2.24,2.76,25-Oct,25-Oct,214,56
580,SUSSUNDENGA,III,12,CML439,MOZL5,CML439 x MOZL5,8.97,168,16,3290,2691,1.9,2.78,15-Oct,17-Oct,211,26
581,SUSSUNDENGA,III,7,CML532,MOZL3,CML532 x MOZL3,10.38,195,19,4695,3698,1.94,2.65,24-Oct,24-Oct,142,29
582,SUSSUNDENGA,III,32,CML435,MOZL8,CML435 x MOZL8,7.48,140,20,3385,2805,1.84,2.89,14-Oct,17-Oct,116,25
583,SUSSUNDENGA,III,49,CML532,MOZL10,CML532 x MOZL10,8.97,168,23,4695,3868,1.81,2.94,20-Oct,21-Oct,231,31
584,SUSSUNDENGA,III,26,CML439,MOZL7,CML439 x MOZL7,8.03,151,21,3970,3161,1.58,2.93,17-Oct,19-Oct,162,22
585,SUSSUNDENGA,III,2,CML366,MOZL3,CML366 x MOZL3,10.5,197,24,5630,4725,1.91,3.15,17-Oct,19-Oct,283,35
586,SUSSUNDENGA,III,27,CML530,MOZL7,CML530 x MOZL7,9.46,177,20,4335,3547,1.94,3.15,18-Oct,20-Oct,215,14
587,SUSSUNDENGA,III,18,CML435,MOZL6,CML435 x MOZL6,6.76,127,22,3410,2788,1.87,2.91,17-Oct,19-Oct,61,12
588,SUSSUNDENGA,III,36,CML364,MOZL9,CML364 x MOZL9,6.16,115,26,3740,3002,1.71,3.15,17-Oct,19-Oct,111,15
589,SUSSUNDENGA,III,38,CML434,MOZL9,CML434 x MOZL9,8.35,156,21,4085,3286,1.82,2.98,19-Oct,23-Oct,113,14
590,SUSSUNDENGA,III,10,CML434,MOZL5,CML434 x MOZL5,9.92,186,21,4645,3904,1.92,3.15,17-Oct,19-Oct,210,28
591,SUSSUNDENGA,III,4,CML435,MOZL3,CML435 x MOZL3,7.04,132,19,3120,2507,1.89,2.84,20-Oct,22-Dec,112,32
592,SUSSUNDENGA,III,41,CML530,MOZL9,CML530 x MOZL9,9.15,172,22,4585,3773,1.72,2.67,17-Oct,19-Oct,116,22
593,SUSSUNDENGA,III,33,CML439,MOZL8,CML439 x MOZL8,7.72,145,22,3830,3184,1.73,2.79,16-Oct,18-Oct,90,21
594,SUSSUNDENGA,III,43,CML364,MOZL10,CML364 x MOZL10,8.72,163,19,3710,3105,1.82,3.42,25-Oct,26-Oct,145,18
595,SUSSUNDENGA,III,1,CML364,MOZL3,CML364 x MOZL3,7.66,144,23,4320,3302,1.81,3.4,22-Oct,23-Oct,187,33
596,SUSSUNDENGA,III,17,CML434,MOZL6,CML434 x MOZL6,8.91,167,15,2990,2507,1.84,3.43,21-Oct,26-Oct,50,13
597,SUSSUNDENGA,III,46,CML435,MOZL10,CML435 x MOZL10,6.46,121,20,3090,2422,1.65,3.37,16-Oct,18-Oct,108,28
598,SUSSUNDENGA,III,8,CML364,MOZL5,CML364 x MOZL5,9.93,186,25,5635,4655,1.994,3.38,19-Oct,21-Oct,154,26
599,SUSSUNDENGA,III,31,CML434,MOZL8,CML434 x MOZL8,6.67,125,19,2765,2377,1.58,3.27,17-Oct,23-Oct,55,21
600,SUSSUNDENGA,III,23,CML366,MOZL7,CML366 x MOZL7,8.77,164,21,4300,3453,1.68,3.41,25-Oct,28-Oct,103,30
